;question
39;oscillococcinum grippe aviaire
40;complément alimentaire NOM_DE_MEDICAMENT naturel ça existe
41;prend pilule NOM_DE_MEDICAMENT oublier pilule or rapport non protégé pris celle oublier repris dernière pilule normalement risque etre enceinte
42;NOM_DE_MEDICAMENT neuroleptique
43;risque grossese multiple vec NOM_DE_MEDICAMENT risque filles
44;fortes brulures estomac prends NOM_DE_MEDICAMENT ça fait rien connaissez reméde plus éfficace
45;sous NOM_DE_MEDICAMENT 0 4 médicament rupture info quant disponibilité
46;j aimerais connaitre les zones exactes application NOM_DE_MEDICAMENT 0 1 NOM_DE_MEDICAMENT
47;famille médicament NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
48;NOM_DE_MEDICAMENT quoi sert NOM_DE_MEDICAMENT
49;NOM_DE_MEDICAMENT
50;savez combien temps agit les effets NOM_DE_MEDICAMENT
51;dangereux si depasse dose NOM_DE_MEDICAMENT rhume
52;bonjour problème peu particulier pris première pilule NOM_DE_MEDICAMENT vendredi dernier prise 19h30 règles commencé nuit jeudi vendredi entre 22h minuit voudrais savoir si pilule déjà efficace si pris 1ere pilule trop tard coincide premier jour regles car viens avoir rapport sexuel cours duquel préservatif NOM_DE_MEDICAMENT craqué conseillez risques grossesse judicieux prenne pilule lendemain merci avance lucile
53;NOM_DE_MEDICAMENT les crise angoisse
54;méthotrexate origine composants
55;commencé mélodia voulais savoir si protégé dès première prise
56;prix générique NOM_DE_MEDICAMENT POSOLOGIE passé subitement 12 39 13 25 normal
57;NOM_DE_MEDICAMENT quinolone
58;viens reprendre NOM_DE_MEDICAMENT 12h45 habitude prends vers 12h30 semble avoir compris fallait reprendre heure après les 7 jours arrêt risque
59;peut couper les comprimés NOM_DE_MEDICAMENT
60;aimerais reprendre pilule NOM_DE_MEDICAMENT tellement peur reprendre poids quelle pilule censer faire prendre poids
61;NOM_DE_MEDICAMENT quoi agit quels recepteurs
62;NOM_DE_MEDICAMENT 75 2 NOM_DE_MEDICAMENT 100 POSOLOGIE NOM_DE_MEDICAMENT jour pensez
63;mère NOM_DE_MEDICAMENT oeudèmes pieds cheville plante pieds vu prescrire NOM_DE_MEDICAMENT ténoretic combien temps avant cela partent
64;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT sans ordonnance
65;à quel moment prend NOM_DE_MEDICAMENT
66;combien temps faut ressente augmentation dose NOM_DE_MEDICAMENT
67;bonjour prends NOM_DE_MEDICAMENT depuis semaine demi aussi très enrhumée fatiguée voir abrutie surtout après midi mal savoir si médicament impression symptome fréquent surtout ça passe contre impression avoir beaucoup moins déprimée dès premier jour peur perdre émotions cela possible quelqu pourrait aider
68;stérogyl seulement les adutles
69;bonjour train prendre pillule ppelle NOM_DE_MEDICAMENT gé NOM_DE_MEDICAMENT probleme sein toujours gonflés ca fait mal medecin NOM_DE_MEDICAMENT prescris NOM_DE_MEDICAMENT parait possible avoir saignement prennant NOM_DE_MEDICAMENT quoi ca sert alors sein vont redevenir normaux parce uqe ca fait vraiment mal merci beaucoup
70;NOM_DE_MEDICAMENT assome normal
71;enceinte NOM_DE_MEDICAMENT grippe NOM_DE_MEDICAMENT
72;sous NOM_DE_MEDICAMENT souffre secheresse oculaire courant
73;quelqu NOM_DE_MEDICAMENT tout début NOM_DE_MEDICAMENT énorme poussée acné
74;je prenais pilule ludéal gé depuis près 8 ans récemment changée NOM_DE_MEDICAMENT aujourd hui symptômes nervosité dépression graisse abdominal nausées que pensez tout ca
75;souhaiterais savoir quel prix vermifuge humain
76;je prends NOM_DE_MEDICAMENT règles bizarres est habituel médicament
77;y NOM_DE_MEDICAMENT médicaments contre agoraphobie
78;oubli pilule NOM_DE_MEDICAMENT relation soir oubli
79;help dépendance NOM_DE_MEDICAMENT
80;quoi puis remplacer NOM_DE_MEDICAMENT
81;copine souffre épine calcanéenne depuis octobre connaissez traitements marchent
82;NOM_DE_MEDICAMENT medicament peu aider NOM_DE_MEDICAMENT calmer anxieté car NOM_DE_MEDICAMENT calme vraiment
83;arret mepronizine quels effets
84;puis arrêter NOM_DE_MEDICAMENT cours plaquette
85;malade méthotrexate
86;quelle NOM_DE_MEDICAMENT mycose génital puis avoir pharmacie sans ordonnance
87;on peut porter patch NOM_DE_MEDICAMENT continu
88;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT compatible grossesse
89;aimerais savoir les vertus NOM_DE_MEDICAMENT favorise mémoire
90;bonjour réveillée dimanche matin urticaire les jambes peu les bras allée voir médecin hier NOM_DE_MEDICAMENT déduit allergie NOM_DE_MEDICAMENT arrêté traitement dès dimanche matin NOM_DE_MEDICAMENT prescrit poralamine pris 2 hier soir levant matin vu présent urticaire décolleté les bras les mains bien moins important les jambes quand inquiète normal urticaire continue monter malgré poralamine dois craindre oedème quincke merci
91;voudrai savoir si bétaserc NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT molécule
92;NOM_DE_MEDICAMENT
93;quel medicament conseillez les nausees
94;aspégic nourrisson epaissit endometre
95;aimerais bien faire cure NOM_DE_MEDICAMENT vegetale parait chabon absorbe tout les medicamment anule donc efficacite meme pilule aimerais savoir si cela vrai
96;NOM_DE_MEDICAMENT quart heure après avoir prix granules NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT sillice colloïdale palpitations sent mal
97;j saignements pilule NOM_DE_MEDICAMENT prends depuis 1 an je mileu plaquette normal
98;peut prescrire NOM_DE_MEDICAMENT tant contraception
99;peut prendre NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT temps
100;possible avoire les seins gonfle milena
101;NOM_DE_MEDICAMENT provoque vertiges
102;quelle dose optimale dexorat
103;NOM_DE_MEDICAMENT entraine cauchemars
104;prennez combien POSOLOGIE seroquel
105;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT quel effet
106;peut prescrire dapis stick boiron femme enceinte
107;souffre colopathie fonctionnelle avère seule chose fasse réellement bien les anxiolytiques malheureusement aussi atteint hépatite donc droit type médicament NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
108;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT quels effets secondaires
109;saignements sous méliane
110;surdosage tricelest quel danger
111;utilisé NOM_DE_MEDICAMENT naxproxen NOM_DE_MEDICAMENT petites doses problèmes dos NOM_DE_MEDICAMENT beaucoup spasme haut dos entre les côtes problème dos dégénéré problèmes anxiété prends moment NOM_DE_MEDICAMENT soir couché desyrel aussi coucheé toujours courbatures bien sûr passe facilement levée crois les médicaments certitude que faire
112;quinolone soleil
113;prend depuis 1 an pillule NOM_DE_MEDICAMENT gé 9h30 matin matin oublié prendre pillule viens prendre dc catastrophe 21h41 NOM_DE_MEDICAMENT quelconque risque
114;prend NOM_DE_MEDICAMENT moins générique qi appelle NOM_DE_MEDICAMENT ethinilestradiol NOM_DE_MEDICAMENT pharmacie NOM_DE_MEDICAMENT redonné générique comme dab composition tout boite NOM_DE_MEDICAMENT design fabricant dois inquiéter
115;connaissez équivalent pansement opsite post opératoire
116;préférable prendre matin soir
117;NOM_DE_MEDICAMENT droit laisser migralgine prontalgine derrière comptoir les étagères bien visible patients
118;prends NOM_DE_MEDICAMENT 35 depuis 3 mois deprime rien y NOM_DE_MEDICAMENT rapport
119;NOM_DE_MEDICAMENT chez patiente sous NOM_DE_MEDICAMENT
120;NOM_DE_MEDICAMENT existe quels dosages
121;mal muscles os après avoir pris NOM_DE_MEDICAMENT normal
122;NOM_DE_MEDICAMENT phosphorica regles très douleureuses
123;dans quel cas NOM_DE_MEDICAMENT utile
124;NOM_DE_MEDICAMENT grossesse
125;prends NOM_DE_MEDICAMENT depuis 2 ans là ressemble règles arrivent milieu cycle toujours protégée contre éventuelle grossesse
126;pillule NOM_DE_MEDICAMENT 35 marche dès première plaquette après 4 mois plus
127;quelle alternative NOM_DE_MEDICAMENT
128;NOM_DE_MEDICAMENT
129;oubli NOM_DE_MEDICAMENT conseils
130;prends pilule triafémi quand oublie comprimé triphasique ça passe comme monophasique veux dire différents dosages peut enchaîner les plaquettes cas oubli dernière semaine si enchaîne seulement les comprimés dernière couleur toute plaquette
131;NOM_DE_MEDICAMENT curatif rage toujours danger
132;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT effets secondaires
133;comt prendre NOM_DE_MEDICAMENT 1ere fois
134;de quoi composé NOM_DE_MEDICAMENT
135;NOM_DE_MEDICAMENT quoi sert NOM_DE_MEDICAMENT
136;connait NOM_DE_MEDICAMENT
137;quels les signes surdosage NOM_DE_MEDICAMENT
138;rotarix effets secondaires
139;NOM_DE_MEDICAMENT contre NOM_DE_MEDICAMENT méningite peut déclencher maladies inflammatoires auto immunes
140;bonjour prends NOM_DE_MEDICAMENT depuis 3ans très bien voudrais arreter prendre contraception quelles les autres pilules néfastes peu toutefois uniquement contraceptives merci bocou
141;hauts bas NOM_DE_MEDICAMENT normal
142;quelle durée validité NOM_DE_MEDICAMENT contre fièvre jaune
143;NOM_DE_MEDICAMENT médicament placebo
144;NOM_DE_MEDICAMENT dtp enfin disponible
145;plus règles cause pillule NOM_DE_MEDICAMENT pris depuis 6 mois
146;pas de question sur NOM_DE_MEDICAMENT medicament
147;NOM_DE_MEDICAMENT quoi sert NOM_DE_MEDICAMENT vulgaris
148;NOM_DE_MEDICAMENT grossesse
149;phosphorus 9ch NOM_DE_MEDICAMENT 9ch ca sert NOM_DE_MEDICAMENT quoi
150;NOM_DE_MEDICAMENT meme pillule yasminelle
151;patch NOM_DE_MEDICAMENT comment utiliser
152;une pharmacienne appelle car souhaiterai savoir pourquoi existe deux dci ibuprofène disponibles ibuprofène teva POSOLOGIE ibuprofène teva santé POSOLOGIE pourquoi NOM_DE_MEDICAMENT différence prix entre les deux
153;quelle classe thérapeutique NOM_DE_MEDICAMENT
154;quel demie vie adalimumab
155;bonjour bonjour voila utilise depuis peu pilule 21jours arrêt 7jours svp aurrais aimée savoir faut faire lorsqu NOM_DE_MEDICAMENT apparition règles durant les sept jours arrêts débuté seconde plaquette attendre 29e jours faire là complètement perdu car pensais menstruations venu après les 7jours merci
156;lisanxia NOM_DE_MEDICAMENT trop problème sevrage
157;jaimerais demander si NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT donne mal bras
158;peut donner NOM_DE_MEDICAMENT chat sous corticoïdes
159;1 mois NOM_DE_MEDICAMENT effets secondaire
160;prends chaque matin 3 POSOLOGIE NOM_DE_MEDICAMENT quels les effets secondaires
161;NOM_DE_MEDICAMENT
162;NOM_DE_MEDICAMENT risqué cas fibrome
163;quel NOM_DE_MEDICAMENT contre méningite
164;est normal avoir vomissement prennant NOM_DE_MEDICAMENT
165;connait guronsan
166;qu gallicum NOM_DE_MEDICAMENT
167;sous NOM_DE_MEDICAMENT 37 5 week end bu beaucoup 5 6 verres whisky bout 5e 6e commencé sentir très mal pensez NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT fait cet effet
168;info triafemi
169;je enceinte NOM_DE_MEDICAMENT 200 déconseillé
170;NOM_DE_MEDICAMENT contre les réveils nocturnes
171;ludéal 3h 12h marge
172;bonjour actuellemnt sous NOM_DE_MEDICAMENT POSOLOGIE ateinte agoraphobie assez severe ainsi trouble panique depersonalisation traitement depuis plus mois aucunes ameliorations toujours aussi paniqué eloigner domicile quand NOM_DE_MEDICAMENT domicile mieux peur panique être seule peur nuit tombe etc vis enfer generaliste NOM_DE_MEDICAMENT dis augumenter NOM_DE_MEDICAMENT POSOLOGIE ca fais peur pensez
173;est prise gélules NOM_DE_MEDICAMENT peut causer augmentation importante diabète patient si oui pourquoi
174;peut proposer NOM_DE_MEDICAMENT pendant grossesse
175;pdt combien temps les effets secondaires arrêt NOM_DE_MEDICAMENT
176;cycléane mycose
177;combien temps dure effet xénical
178;qu tricilest
179;comparaison NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
180;après 1 mois demi NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT generique sans effet psy NOM_DE_MEDICAMENT prescrit hier NOM_DE_MEDICAMENT qq peut témoigner propos action
181;les antibiotiques provoquent ils remontées gastriques
182;NOM_DE_MEDICAMENT complexe puis prendre pendant grossesse
183;y NOM_DE_MEDICAMENT version générique cycléane 30
184;quels NOM_DE_MEDICAMENT contre cancer col utérus
185;dois prendre NOM_DE_MEDICAMENT cortisone kyste poignet docteur NOM_DE_MEDICAMENT bien dit sel ni sucre moins possible pourquoi cela
186;la sertaline joue libido
187;dois faire opérer poitrine vaut mieux prendre opium 30ch veille réveil anesthésie
188;est pilule NOM_DE_MEDICAMENT gé20 donne migraines
189;question NOM_DE_MEDICAMENT
190;en concerne délivrance tranxène 10 si posologie 2 jour fait
191;lévonorgestrel pris avant ovulation jusqu ça peut protèger
192;trimgel NOM_DE_MEDICAMENT
193;prends NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT soir insomnie ressent effet inverse normal
194;effets NOM_DE_MEDICAMENT grossesse
195;est risque tomber enceinte NOM_DE_MEDICAMENT 20
196;NOM_DE_MEDICAMENT connaissez
197;quel NOM_DE_MEDICAMENT faire maintenant dtp plus dispo
198;argile NOM_DE_MEDICAMENT veroa utiliser parties intimes
199;générique NOM_DE_MEDICAMENT
200;NOM_DE_MEDICAMENT marron inde où trouver
201;NOM_DE_MEDICAMENT cause
202;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
203;différence dosage hormone entre méliane NOM_DE_MEDICAMENT implanon
204;dose NOM_DE_MEDICAMENT trop faible
205;j souvent prescriptions NOM_DE_MEDICAMENT célestene NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT toutes sous formes injectables prescrites ensemble nébulisation toutes hors amm voie aérosol cela NOM_DE_MEDICAMENT testé après les laboratoires faire
206;que faire si oublié NOM_DE_MEDICAMENT gé soir
207;NOM_DE_MEDICAMENT contre anxiété faible dosage 25 POSOLOGIE quels les effets secondaires
208;NOM_DE_MEDICAMENT prescrit NOM_DE_MEDICAMENT cette pilule effective dès première prise cela fait si commence plaquette alors encore regles
209;NOM_DE_MEDICAMENT reveille nuit
210;rispéridone chez adulte hyperactif
211;est pouvons substituer les prescriptions NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT générique remboursé
212;bonjour sous séropram NOM_DE_MEDICAMENT depuis 5 mois vais mieux concernant attaques panique angoisses parcontre mal dormir surtout crises rires partout rue chez impression devenir débile ris rien meme toute seule devant écran pc les ad
213;NOM_DE_MEDICAMENT convient parfaitement contre les phobies pensez
214;où mettez patch NOM_DE_MEDICAMENT être décolle
215;question NOM_DE_MEDICAMENT pilule mini dosée possible règles viennent sans autant enceinte
216;prenais orgametil maintenant prends NOM_DE_MEDICAMENT changement pendant premier mois oublié prendre pilule prise 12h après ensuite saignements pendant 10 jours très légers trouvé règles bizarre fait test grossesse négatifs NOM_DE_MEDICAMENT chances enceinte
217;NOM_DE_MEDICAMENT amm france
218;NOM_DE_MEDICAMENT peut empêcher nidation ovule endomètre
219;NOM_DE_MEDICAMENT autre antidépresseur
220;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT effets secondaires
221;NOM_DE_MEDICAMENT anxyolitique
222;quelle alternative méningitec cas rupture
223;tres mal NOM_DE_MEDICAMENT tete donc pris NOM_DE_MEDICAMENT habitude prends NOM_DE_MEDICAMENT apres avoir pris rendu compte date peremption 02 2006 inquiete peu pensez grave
224;quels tisanes maigrir
225;NOM_DE_MEDICAMENT haut risque parkinsonisme
226;NOM_DE_MEDICAMENT patient NOM_DE_MEDICAMENT demandé alkylglycerol contenu NOM_DE_MEDICAMENT foie requin réguler cholestérol voulant plus prendre statines NOM_DE_MEDICAMENT vraiment cette propriété
227;enceintre NOM_DE_MEDICAMENT
228;est bon prendre corticoïde quand fait vacciner
229;NOM_DE_MEDICAMENT generique NOM_DE_MEDICAMENT meme composition NOM_DE_MEDICAMENT original
230;NOM_DE_MEDICAMENT celles utilisent NOM_DE_MEDICAMENT effets secondaires
231;traitement cystite simple première intention
232;sterilet NOM_DE_MEDICAMENT acné
233;visage bouffi cause NOM_DE_MEDICAMENT
234;faut prendre NOM_DE_MEDICAMENT pendant les repas limiter les effets indésirables
235;utilise patch NOM_DE_MEDICAMENT ça inquiete peu fois super nausées maux ventre demande vraiment si enceinte
236;comment les antidiabétiques diminuent ils glycémie
237;pris NOM_DE_MEDICAMENT 1ere fois bout 15 jours toujours règles cela veut dire cette pilule convient dois encore attendre 1 mois 2 avant savoir
238;NOM_DE_MEDICAMENT 35 génériques
239;NOM_DE_MEDICAMENT règles
240;une profonde fatigue peut être cause NOM_DE_MEDICAMENT
241;vais prendre pilule NOM_DE_MEDICAMENT aimerais savoir si NOM_DE_MEDICAMENT stop les règles les flux moins abondant tout efficace 1er jour règles
242;reprends NOM_DE_MEDICAMENT oubli pourriez aider si tel situation
243;dois prendre NOM_DE_MEDICAMENT 3x jour commencé traitement hier soir 23h 23h30 cette nuit oublié réveiller donc pris 10h grave
244;NOM_DE_MEDICAMENT remboursée
245;y NOM_DE_MEDICAMENT risque grossesse pendant semaine arrêt NOM_DE_MEDICAMENT 35
246;qu NOM_DE_MEDICAMENT
247;NOM_DE_MEDICAMENT traitement NOM_DE_MEDICAMENT fille 21 mois pouvez dire NOM_DE_MEDICAMENT long terme si NOM_DE_MEDICAMENT risques santé
248;dois éviter certains aliments kardefic j peur efficacité varie
249;quel version non générique NOM_DE_MEDICAMENT
250;les personnes NOM_DE_MEDICAMENT prendre NOM_DE_MEDICAMENT effets secondaires part photosensibilisation
251;le l122 aide bruler maigrir
252;NOM_DE_MEDICAMENT quoi sert médicament NOM_DE_MEDICAMENT
253;doit arrêter NOM_DE_MEDICAMENT si NOM_DE_MEDICAMENT envie bébé
254;NOM_DE_MEDICAMENT dependance o bout combien jours
255;quelques problèmes acné voulais savoir si faisant mettre implant risquais voir affreux boutons réapparaitrent
256;quel type médicament NOM_DE_MEDICAMENT
257;sous cérazette depuis qq mois mnt depuis 1 semaine environ pertes blanches bcp plus abondantes habitude dois inquieter
258;quel NOM_DE_MEDICAMENT contre cancer col uterus
259;existe générique médicament NOM_DE_MEDICAMENT 20 POSOLOGIE
260;prends NOM_DE_MEDICAMENT mois dernier saignements lors 2eme semaine plaquette mois ci ça recommence plus belle les saignements vraiment comme petit debut regle plus important NOM_DE_MEDICAMENT quoi NOM_DE_MEDICAMENT avis
261;NOM_DE_MEDICAMENT disponible québec
262;peut utiliser phytothérapie traitement insomnie
263;quand faire NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT chez nourrisson
264;quels les effets secondaires NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
265;NOM_DE_MEDICAMENT 5 POSOLOGIE connaissez
266;medecin NOM_DE_MEDICAMENT prescrit NOM_DE_MEDICAMENT 0 50 NOM_DE_MEDICAMENT cependant impression NOM_DE_MEDICAMENT generique commence NOM_DE_MEDICAMENT plus faire effet faudrait demande plutot NOM_DE_MEDICAMENT quels les effets secondaires
267;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
268;NOM_DE_MEDICAMENT contre anxiete oui non
269;NOM_DE_MEDICAMENT déjà réussi diminuer les doses NOM_DE_MEDICAMENT dormir normalement
270;quel traitement homéopathique contre les crampes
271;méthadone remplacer NOM_DE_MEDICAMENT
272;NOM_DE_MEDICAMENT quelle indication c438
273;quel risque rencontré si accouche avant injection NOM_DE_MEDICAMENT
274;souffre urticaire solaire médecin NOM_DE_MEDICAMENT conseillé NOM_DE_MEDICAMENT 1 00 POSOLOGIE problème sais si peux trouver ça france quelqu peut dire existe médicament générique type si jamais faut ordonnance
275;pilule lendemain NOM_DE_MEDICAMENT
276;gynéco NOM_DE_MEDICAMENT fais piqure NOM_DE_MEDICAMENT depuis hier douleurs ventre personnes peuvent éclaircir peu
277;c quoi NOM_DE_MEDICAMENT
278;épanchement synovie apparu spontanément allée voir homéopathe NOM_DE_MEDICAMENT prescrit comprimés ribes nigrum folia trop cher découvert NOM_DE_MEDICAMENT indiqué les épanchements ainsi apis mellifica pensais prendre NOM_DE_MEDICAMENT 5 ch correct
279;NOM_DE_MEDICAMENT quelqu connait
280;souhaite avoir avis les effets implant
281;existe intéractions entre NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
282;NOM_DE_MEDICAMENT sans ordonnance
283;quelles les vaccins possibles durant début grossesse
284;NOM_DE_MEDICAMENT antibiotiques
285;j eczema suite prise extranaze dois faire
286;qui sous NOM_DE_MEDICAMENT
287;gynéco NOM_DE_MEDICAMENT demandé faire NOM_DE_MEDICAMENT boostrix diphtérie tétanos cocqueluche enceinte 27 semaines pose donc question si dangereux futur bébé
288;diu cuive disponible planning familiale
289;est NOM_DE_MEDICAMENT cristers NOM_DE_MEDICAMENT hémifumarate peut bien substituer NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT fumarate
290;effet ovule NOM_DE_MEDICAMENT 600
291;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT ils reservés adultes
292;NOM_DE_MEDICAMENT entraine crampes normalement
293;NOM_DE_MEDICAMENT risque bébé NOM_DE_MEDICAMENT naître prendre oméprazole
294;boite NOM_DE_MEDICAMENT expirait 2006 raisonnable les consommé dangereux
295;les sage femmes droit prescrire pilule contraceptive quelles conditions
296;carrence NOM_DE_MEDICAMENT quel traitement
297;si mauvaise réaction si complications suivent NOM_DE_MEDICAMENT contre hépatite NOM_DE_MEDICAMENT combien temps après injection cela arive moins partir quand peut dire NOM_DE_MEDICAMENT mauvaise réaction complication
298;fais erreur utilisant NOM_DE_MEDICAMENT après avoir mis 2ème anneau retiré 1 semaine trop tôt sans voir erreur mis autre tout suite entre temps rapports risques NOM_DE_MEDICAMENT donc risque grossesse risque ecarté vu autre anneau NOM_DE_MEDICAMENT inséré juste après
299;sevrage NOM_DE_MEDICAMENT très difficile
300;quel nombre limite bas compression délivrables 1 an
301;NOM_DE_MEDICAMENT provoque prise poids
302;grossesse NOM_DE_MEDICAMENT autorisé
303;schéma vaccinal habituel 2 3 4 mois savez quelle fourchette tolérée entre chaque dose
304;desolee faire chiee monde dite NOM_DE_MEDICAMENT peu faire avoir eruption cutanee corps apres 4 mois prise vue dermato dit alergie NOM_DE_MEDICAMENT lessive NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT douche savon autre ca fais mois ca dure NOM_DE_MEDICAMENT fais rien ca gratte corps ventre bras sous les seins entre les cuisse comme roseole ca fais ca gratte NOM_DE_MEDICAMENT idee car peu plus drole tout ca merci encore desolee
305;prend pilule NOM_DE_MEDICAMENT depuis mois depuis quasi premier jour prise moral top pleure très souvent NOM_DE_MEDICAMENT autres moment très heureuse symptomes peuvent etre dus NOM_DE_MEDICAMENT pilule
306;help dépendance NOM_DE_MEDICAMENT
307;une préparatrice pharmacie demande quelle quantité lactose contenue NOM_DE_MEDICAMENT eg
308;carence NOM_DE_MEDICAMENT faire
309;NOM_DE_MEDICAMENT apnee someil
310;qu orgastoro
311;viens lire notice dit dois prendre NOM_DE_MEDICAMENT après fin pilule holygième alors gynéco NOM_DE_MEDICAMENT dit prendre 1er jour règles alors quand dois prendre
312;NOM_DE_MEDICAMENT déremboursé
313;médecin prescrit NOM_DE_MEDICAMENT parait médicament peut faire grossir ceux prenne grossi
314;depuis pris pillule NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT quelques mois petites taches sang marron sans gravité aujourd hui saignements comme début règles assez léger sais faut fasse
